Player,Team,Opp,Att,Comp,Pass Yds,TD,INT,Fum
Jacoby Brissett,ARI,ATL,38.1,24.7,262,1.74,0.64,0.15
Kirk Cousins,ATL,ARI,28.2,20.7,235,1.69,0.71,0.14
Lamar Jackson,BAL,NE,26.8,18.9,213,1.65,0.49,0.14
Josh Allen,BUF,CLE,24.5,19.2,214,1.28,0.52,0.15
Bryce Young,CAR,TB,29.1,19.9,216,1.49,0.68,0.14
Caleb Williams,CHI,GB,26.8,19.6,209,1.58,0.39,0.15
Joe Burrow,CIN,MIA,33.8,24.4,266,2.00,0.67,0.15
Shedeur Sanders,CLE,BUF,29.6,17.8,189,0.83,1.07,0.15
Dak Prescott,DAL,LAC,31.2,23.4,266,1.77,0.67,0.14
Bo Nix,DEN,JAX,32.6,23.9,252,1.64,0.65,0.15
Jared Goff,DET,PIT,32.6,23.7,276,1.92,0.54,0.15
Jordan Love,GB,CHI,31.9,20.1,243,1.30,0.60,0.14
C.J. Stroud,HOU,LV,29.4,21.6,244,1.70,0.61,0.15
Philip Rivers,IND,SF,27.6,16.6,181,0.97,0.86,0.15
Trevor Lawrence,JAX,DEN,33.2,20.9,237,1.40,0.80,0.15
Gardner Minshew II,KC,TEN,31.0,21.5,228,1.37,0.95,0.15
Geno Smith,LV,HOU,28.8,19.0,192,0.77,0.87,0.13
Justin Herbert,LAC,DAL,27.3,21.4,240,1.78,0.57,0.14
Matthew Stafford,LAR,SEA,32.3,21.3,235,1.41,0.46,0.15
Quinn Ewers,MIA,CIN,22.1,18.7,191,1.24,0.66,0.14
J.J. McCarthy,MIN,NYG,24.6,17.2,201,1.52,1.00,0.15
Drake Maye,NE,BAL,32.0,22.8,246,1.47,0.68,0.15
Tyler Shough,NO,NYJ,30.4,21.1,228,1.44,0.72,0.15
Jaxson Dart,NYG,MIN,25.7,18.4,196,1.04,0.47,0.14
Brady Cook,NYJ,NO,26.5,16.0,178,0.92,0.80,0.15
Jalen Hurts,PHI,WAS,26.9,19.6,229,1.51,0.45,0.15
Aaron Rodgers,PIT,DET,30.3,23.0,246,1.58,0.60,0.14
Sam Darnold,SEA,LAR,27.8,20.0,231,1.55,0.71,0.15
Brock Purdy,SF,IND,33.9,22.7,255,1.58,1.00,0.15
Baker Mayfield,TB,CAR,31.1,20.9,242,1.75,0.64,0.14
Cam Ward,TEN,KC,28.7,19.2,192,0.86,0.49,0.14
Marcus Mariota,WAS,PHI,28.7,18.3,205,1.11,0.80,0.13